trial_id,strategy,repeat_id,val_accuracy,train_loss,train_time_min,lora_rank,learning_rate,lora_targets,max_steps
258,optuna,0,0.388,0.786180567741394,20.1,4,0.000149,full,200
260,optuna,0,0.398,0.7316921877861023,17.9,8,0.000304,medium,200
259,optuna,1,0.43,0.5887835478782654,28.9,32,0.000347,full,200
262,optuna,1,0.438,0.5880187320709228,28.9,32,0.000402,full,200
261,optuna,0,0.454,0.5600867819786072,46.9,32,0.000345,full,200
263,optuna,1,0.438,0.6075670385360717,28.7,32,0.000492,full,200
264,optuna,0,0.418,0.7449156880378723,46.2,32,0.000133,full,200
265,optuna,1,0.418,0.6589070248603821,28.9,32,6.3e-05,full,200
267,optuna,1,0.406,0.674476375579834,24.0,32,0.000492,minimal,200
266,optuna,0,0.382,0.8312208437919617,40.7,32,6.6e-05,full,200
268,optuna,1,0.372,0.9095410990715027,28.4,64,1.4e-05,full,200
269,optuna,1,0.412,0.6492557096481323,28.2,32,0.000156,full,200
271,optuna,3,0.326,1.2190144085884094,38.3,4,2.8e-05,full,200
270,optuna,2,0.402,0.6298723983764648,38.6,64,0.000403,full,200
273,optuna,2,0.368,0.901131763458252,14.8,4,0.000323,minimal,200
272,optuna,3,0.392,0.8117716193199158,15.7,64,0.000262,medium,200
274,optuna,2,0.328,2.9142312240600585,28.6,4,2e-05,minimal,200
275,optuna,3,0.33,1.4653079986572266,47.1,4,3e-05,full,200
276,optuna,2,0.318,1.4637504863739013,15.3,16,2.7e-05,minimal,200
278,optuna,2,0.4,0.7980160427093506,16.3,8,0.00028,medium,200
277,optuna,3,0.398,0.80962317943573,35.3,64,3.9e-05,medium,200
280,optuna,3,0.398,0.7784748244285583,21.3,16,0.000294,minimal,200
279,optuna,2,0.422,0.6882172179222107,40.6,64,0.000167,medium,200
282,optuna,2,0.378,0.8503906345367431,28.6,4,0.000214,full,200
281,optuna,3,0.332,1.4061150598526,35.1,16,1.1e-05,medium,200
284,optuna,3,0.378,0.8281548833847046,21.4,16,0.000246,medium,200
283,optuna,2,0.34,0.9862488031387329,24.2,16,4.2e-05,full,200
286,optuna,2,0.402,0.7578416800498963,14.7,64,0.000477,minimal,200
285,optuna,3,0.434,0.6392272686958314,29.4,64,0.000102,full,200
288,optuna,3,0.366,0.8949372482299804,18.2,64,1e-05,full,200
287,optuna,2,0.334,1.640580825805664,40.6,16,1.1e-05,medium,200
289,optuna,3,0.39,0.7866010236740112,18.0,16,0.000334,medium,200
291,optuna,3,0.392,0.8855572390556335,24.3,32,0.000101,minimal,200
290,optuna,2,0.394,0.7527698206901551,40.6,32,0.00011,medium,200
292,optuna,3,0.384,0.8362457966804504,26.5,8,7.9e-05,full,200
293,optuna,2,0.444,0.6198857402801514,47.7,64,0.000116,full,200
294,optuna,3,0.426,0.6912211799621581,49.2,64,4.1e-05,full,200
295,optuna,2,0.432,0.6133814573287963,47.3,64,0.000111,full,200
296,optuna,3,0.452,0.5971623754501343,48.0,64,0.000134,full,200
297,optuna,2,0.428,0.6298998785018921,47.1,64,7.9e-05,full,200
298,optuna,3,0.432,0.6192743468284607,29.1,64,0.000135,full,200
299,optuna,2,0.438,0.6082021737098694,46.6,64,0.00012,full,200
300,optuna,3,0.444,0.6337723350524902,46.7,32,0.00015,full,200
301,optuna,2,0.396,0.8025256776809693,46.1,32,5.2e-05,full,200
302,optuna,3,0.392,0.8603453159332275,38.7,32,0.000166,minimal,200
303,optuna,2,0.38,0.7918776750564576,29.4,8,0.000134,full,200
304,optuna,3,0.47,0.5554913532733917,48.7,32,0.000491,full,200
305,optuna,2,0.414,0.6534113168716431,41.0,64,7.2e-05,full,200
306,optuna,3,0.438,0.6580773329734803,46.6,8,0.000362,full,200
307,optuna,2,0.46,0.5434189999103546,46.6,64,0.000201,full,200
308,optuna,3,0.458,0.5761537384986878,46.4,32,0.000489,full,200
309,optuna,2,0.436,0.5944351530075074,28.8,64,0.000226,full,200
311,optuna,5,0.39,0.8844556164741516,15.9,32,0.000127,minimal,200
310,optuna,4,0.348,1.0555654311180114,32.8,64,3.4e-05,minimal,200
312,optuna,5,0.404,0.7362798166275024,29.7,32,0.00018,minimal,200
313,optuna,4,0.392,0.9352142858505249,40.4,32,5.6e-05,medium,200
314,optuna,5,0.404,0.657139024734497,37.6,32,0.000265,full,200
316,optuna,5,0.34,1.0427194142341614,18.4,32,2e-05,full,200
315,optuna,4,0.326,1.3555539417266846,45.8,8,2.4e-05,full,200
