trial_id	strategy	repeat_id	lora_rank	lora_alpha	learning_rate	batch_size	grad_accum_steps	warmup_ratio	weight_decay	lora_targets	max_steps	val_accuracy	val_closed_acc	val_open_acc	train_loss	train_time_min	peak_vram_mb	status	notes	agent_reasoning	phase	temperature
94	random	3	32	32	6.6e-05	1	4	0.061	0.0394	full	200	0.378	0.7213	0.0508	0.8772122049331665	17.6	11963.2	completed				0.0
96	random	3	4	16	3.3e-05	1	4	0.0961	0.0815	minimal	200	0.338	0.6557	0.0352	1.6794266510009765	14.8	12348.8	completed				0.0
95	random	2	16	64	0.000241	2	4	0.0135	0.0731	full	200	0.388	0.7336	0.0586	0.6751764845848084	18.4	11877.9	completed				0.0
97	random	3	64	64	0.000207	1	8	0.0026	0.0291	minimal	200	0.392	0.7295	0.0703	0.7596425342559815	19.6	13002.5	completed				0.0
98	random	2	8	32	1.6e-05	4	8	0.0562	0.0234	medium	200	0.33	0.6516	0.0234	1.4516111898422241	25.5	12420.3	completed				0.0
99	random	3	16	16	1.4e-05	4	8	0.0286	0.0998	medium	200	0.334	0.6557	0.0273	1.787047839164734	25.4	13634.7	completed				0.0
100	random	2	8	16	0.000397	1	8	0.0106	0.0584	minimal	200	0.39	0.7377	0.0586	0.803279550075531	19.7	12958.9	completed				0.0
102	random	2	64	256	0.00036	4	8	0.0709	0.0435	minimal	200	0.414	0.7746	0.0703	0.687155659198761	24.1	13650.6	completed				0.0
101	random	3	64	256	6.1e-05	4	8	0.0937	0.0269	full	200	0.426	0.7951	0.0742	0.6792716979980469	28.7	14566.8	completed				0.0
104	random	3	64	128	0.000144	2	8	0.013	0.0093	full	200	0.4	0.7664	0.0508	0.6414611744880676	25.7	15130.6	completed				0.0
103	random	2	32	64	0.000189	1	16	0.0155	0.0108	medium	200	0.402	0.7746	0.0469	0.7244526195526123	32.4	14235.4	completed				0.0
105	random	3	4	16	0.000196	2	8	0.0666	0.0643	minimal	200	0.368	0.7254	0.0273	0.948344202041626	21.0	15362.2	completed				0.0
106	random	2	8	8	0.000486	1	16	0.0855	0.0408	minimal	200	0.392	0.75	0.0508	0.9090901017189026	29.5	14768.8	completed				0.0
107	random	3	8	8	7.8e-05	4	16	0.089	0.0812	medium	200	0.324	0.6475	0.0156	1.231380615234375	40.4	16066.7	completed				0.0
108	random	2	32	32	6e-05	2	16	0.0452	0.014	medium	200	0.352	0.7008	0.0195	0.9823145747184754	34.6	15465.6	completed				0.0
109	random	2	64	256	0.00026	2	4	0.0474	0.0006	minimal	200	0.384	0.7254	0.0586	0.7273257184028625	15.1	15992.5	completed				0.0
110	random	5	8	16	1.8e-05	2	16	0.0838	0.0251	minimal	200	0.34	0.6639	0.0312	2.0016462707519533	32.6	4632.9	completed				0.0
111	random	4	4	8	6e-05	2	16	0.0242	0.0195	medium	200	0.326	0.6475	0.0195	1.2756987071037293	35.5	4633.0	completed				0.0
112	random	5	8	32	7.9e-05	1	16	0.0101	0.0468	medium	200	0.364	0.6967	0.0469	0.8583457064628601	31.4	5206.0	completed				0.0
113	random	4	64	64	7.2e-05	4	16	0.065	0.0183	minimal	200	0.384	0.7377	0.0469	0.9573411822319031	37.8	5337.0	completed				0.0
114	random	5	16	32	0.000445	1	4	0.0085	0.0763	full	200	0.376	0.709	0.0586	0.7229265594482421	17.5	5886.3	completed				0.0
115	random	4	32	128	0.000119	2	8	0.0109	0.0727	minimal	200	0.394	0.7418	0.0625	0.7507641363143921	20.7	5826.4	completed				0.0
116	random	5	8	32	0.000139	2	4	0.0534	0.0966	full	200	0.38	0.7336	0.043	0.7662488865852356	18.1	6429.8	completed				0.0
117	random	4	64	128	0.00013	2	4	0.0577	0.0414	medium	200	0.404	0.7705	0.0547	0.7673120403289795	16.1	6477.4	completed				0.0
118	random	5	8	8	0.000214	2	4	0.0932	0.0872	full	200	0.37	0.7295	0.0273	0.8664264225959778	18.4	7027.8	completed				0.0
119	random	4	64	64	3e-05	1	16	0.0946	0.0022	minimal	200	0.334	0.6475	0.0352	1.1857941699028016	29.1	7038.4	completed				0.0
120	random	5	4	4	0.000406	1	8	0.0551	0.0423	full	200	0.366	0.709	0.0391	0.8150869941711426	24.0	7594.8	completed				0.0
121	random	4	64	256	2e-05	1	16	0.0942	0.0797	minimal	200	0.36	0.6967	0.0391	0.988194305896759	28.9	7636.4	completed				0.0
